MLSNUM,LISTPRICE,ZIP,BEDS,BATHS,SQFT
71903578,429000.0,01803,2,2.0,1166
71903661,249900.0,01886,2,1.5,1627
71903725,129900.0,01826,2,1.0,1044
71904095,114900.0,01082,3,1.5,1144
71904117,289900.0,02150,1,1.0,1073
71904168,114900.0,01890,0,1.0,388
71904315,479000.0,02445,1,1.0,725
71904434,599000.0,02360,2,2.0,1507
71904661,99900.0,01845,1,1.0,650
71904698,184900.0,01588,3,1.5,1248
71904790,419999.0,02360,2,2.0,1700
71904826,259900.0,02081,3,1.5,1500
71904853,436900.0,01863,3,2.5,2199
71904989,475000.0,02113,1,1.0,601
71905022,365000.0,02467,2,2.0,1164
71905046,399000.0,02458,1,1.0,875
71905060,399000.0,02458,2,1.5,909
71905122,599900.0,01923,2,2.5,2384
71905126,310000.0,01801,2,1.5,1280
71905129,249000.0,01949,1,1.0,769
71905270,599000.0,02482,2,2.5,1480
71905271,232400.0,01060,1,1.0,884
71905404,470000.0,02130,4,1.0,1462
71905473,129900.0,01810,1,1.0,688
71905505,248000.0,01432,2,2.0,1710
71905628,242000.0,01860,2,2.0,1286
71905636,739900.0,02476,3,2.5,2113
71905794,342000.0,02630,3,3.0,1649
71905827,459000.0,02125,2,2.0,900
71905858,110000.0,01970,2,1.0,831
71905934,175000.0,01970,2,1.0,708
71906209,184900.0,02375,2,1.5,1052
71906370,949000.0,02464,3,3.5,2701
71906371,999000.0,02464,3,3.5,2993
71906435,1375000.0,02111,2,2.0,1166
71906582,209000.0,02780,2,2.5,1501
71906600,289900.0,02703,3,2.0,1534
71906607,249900.0,02368,3,1.5,1404
71906653,599900.0,02453,3,3.0,2200
71906783,359900.0,02180,3,2.5,1575
71906807,165000.0,02333,2,1.5,1024
71906884,169000.0,02375,2,1.5,1024
71906970,321000.0,01867,2,2.0,1143
71907017,139900.0,01118,3,1.5,1446
71907127,309900.0,02135,2,1.0,654
71907162,168000.0,01826,2,1.0,1054
71907306,289900.0,01960,2,2.0,1535
71907433,609000.0,02145,2,2.0,1252
71907676,320000.0,01460,2,2.0,1200
71907788,219900.0,02780,2,1.5,1228
71907815,409900.0,01720,2,2.5,2182
71907828,599000.0,02111,1,1.0,735
71907925,550000.0,02066,2,2.5,2184
71908062,279000.0,00263,2,2.0,818
71908203,234000.0,01880,2,1.0,1128
71908252,219000.0,01945,1,1.0,1166
71908277,149900.0,01826,2,1.0,1054
71908331,169000.0,01960,2,1.0,930
71908410,645000.0,02141,1,1.5,928
71908532,1195000.0,02118,2,2.0,1459
71908753,139900.0,01588,3,1.5,1404
71908785,549900.0,02138,2,1.5,1128
71908802,312000.0,01960,2,2.5,1488
71908906,275000.0,01089,2,2.5,2235
71908961,289900.0,02152,2,1.0,1394
71908984,267900.0,02184,2,2.0,1096
71909058,286750.0,02131,2,2.0,925
71909119,219900.0,02190,2,1.0,1060
71909199,1185000.0,02138,1,1.5,1033
71909228,217000.0,01606,2,2.5,1500
71909287,216000.0,02467,2,1.0,775
71909319,299900.0,01938,2,1.5,1549
71909342,899000.0,02494,4,3.5,3010
71909473,234900.0,01879,2,1.5,1288
71909477,388500.0,01462,4,2.5,2879
71909485,499950.0,02109,1,1.0,631
71909495,939000.0,02116,2,1.5,1028
71909552,129000.0,02152,1,1.0,350
71909584,239900.0,02375,2,1.5,2366
71909607,345000.0,02134,3,1.0,906
71909625,469000.0,02332,2,2.0,1600
71909659,475000.0,02482,2,2.0,1374
71909722,129999.0,02151,1,1.0,661
71909804,282000.0,02184,2,2.0,1077
71910008,319900.0,02155,2,1.0,802
71910044,239900.0,01752,3,2.5,1620
71910092,950000.0,01810,2,4.5,3600
71910132,214000.0,01566,2,2.5,2208
71910178,359000.0,01721,2,2.5,2100
71910467,254900.0,01824,2,2.0,1770
71910517,232000.0,01718,2,1.5,1475
71910581,214900.0,02021,2,1.0,812
71910647,312000.0,02081,3,2.5,1488
71910681,189000.0,01060,1,1.0,716
71910891,109900.0,01905,1,1.0,550
71910953,164900.0,01420,2,1.5,1651
71910963,89000.0,01841,2,1.5,940
71911089,479900.0,01803,2,2.5,1800
71911091,795000.0,02043,2,3.0,2517
71911136,445000.0,01760,3,2.5,1609
71911142,249900.0,01826,2,1.5,1232
71911224,439000.0,02446,1,1.0,650
71911302,525000.0,01950,2,1.5,1380
71911451,264999.0,02148,1,1.0,601
71911527,157000.0,01534,2,1.5,1459
71911614,720000.0,02115,2,2.0,975
71911628,999000.0,02138,4,2.0,2200
71911667,165961.0,02150,3,1.0,1176
71911900,379900.0,02148,3,1.5,1656
71911964,819000.0,02130,3,2.5,1753
71912029,569000.0,01742,3,2.5,2112
71912052,347000.0,01880,2,2.0,1136
